千寻位置现实捕捉<!sp>机器学习／深度学习<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'深度学习,open CV'<!sp>1天前<!sp>拉勾网<!sp>'阿里系平台,发展前景广阔'<!sp>'学习能力,美术功底,逻辑思维能力,常用办公软件的使用,领导能力,团队协作能力,专业素质良好,沟通表达能力'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
星汉数智研发部<!sp>机器学习<!sp>10k-15k<!sp>长沙<!sp>经验不限<!sp>'软件开发,机器学习,深度学习,自然语言处理'<!sp>2018-01-11<!sp>拉勾网<!sp>'扁平化管理,周末双休,五险一金,交通补助'<!sp>'学习能力,美术功底,创新能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>长沙 - 开福区 - 芙蓉北路 - 车站北路649号通华天都1栋26楼
顺丰科技有限公司顺丰科技<!sp>机器学习平台研发工程师<!sp>20k-40k<!sp>深圳<!sp>经验3-5年<!sp>'数据分析,算法,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'弹性时间,午餐补贴,交通补贴,发展空间大'<!sp>'设计能力,学习能力,逻辑思维能力,专业素质良好,领悟能力'<!sp>深圳 - 南山区 - 深圳湾 - 软件产业基地1B
APUS Group技术部<!sp>机器学习工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,算法,机器学习,大数据,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'年底双薪,车补,饭补,房补'<!sp>'逻辑思维能力,学习能力,创新能力,钻研能力,专业素质良好,领悟能力'<!sp>北京 - 朝阳区 - - 望京SOHO,T3
去哪儿网旅游度假事业部<!sp>数据处理及机器学习工程师...<!sp>15k-30k<!sp>北京<!sp>经验不限<!sp>'数据分析,数据挖掘,旅游,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'团队氛围融洽,帅哥美女多,年假多'<!sp>'服务意识,学习能力,钻研能力,专业素质良好,逻辑思维能力'<!sp>北京 - 海淀区 - 中关村 - 丹棱街3号中国电子大厦B座17层
百度展示广告平台部<!sp>机器学习/数据挖掘工程师<!sp>15k-30k<!sp>上海<!sp>经验1-3年<!sp>'数据分析,算法,数据挖掘,机器学习,大数据'<!sp>2018-01-18<!sp>拉勾网<!sp>'核心岗位,核心技术,平台大,前景好'<!sp>''<!sp>上海市 - 浦东新区 - 张江 - 上研大厦
人人车大数据部<!sp>机器学习平台开发工程师<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'数据分析,大数据,机器学习,Java'<!sp>2天前<!sp>拉勾网<!sp>'团队氛围好,技术牛'<!sp>'服务意识,逻辑思维能力,学习能力,领悟能力'<!sp>北京 - 朝阳区 - 北苑 - 北苑东路中国铁建广场B座19层
公平价研发部<!sp>机器学习/深度学习<!sp>13k-25k<!sp>成都<!sp>经验1-3年<!sp>'汽车,数据挖掘'<!sp>3天前<!sp>拉勾网<!sp>'与大牛的开放分享,对技术的专注,优厚薪资'<!sp>''<!sp>成都 - 武侯区 - 华阳 - 天府大道中段1388号美年广场D座391号
方正国际研发部<!sp>机器学习工程师<!sp>15k-25k<!sp>武汉<!sp>经验3-5年<!sp>'机器学习,深度学习,人工智能,自然语言处理'<!sp>3天前<!sp>拉勾网<!sp>'福利好,平台大,晋升机制好'<!sp>'学习能力,文案能力,沟通表达能力,团队协作能力,逻辑思维能力,专业素质良好,英语基础'<!sp>武汉 - 洪山区 - 关山 - 光谷大道70号现代光谷世贸中心B座5楼
智铀科技技术研发部<!sp>大规模机器学习工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'专家,资深,高级,中级,数据分析,数据挖掘'<!sp>2018-01-17<!sp>拉勾网<!sp>'视野广,晋升快,学术氛围浓'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 融科资讯中心B座
CoupangSearch<!sp>资深机器学习算法工程师<!sp>20k-30k<!sp>上海<!sp>经验5-10年<!sp>'算法,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作制,技术氛围强,技术自由度,补充公积金'<!sp>''<!sp>上海 - 浦东新区 - 金科路2889弄长泰广场C座7楼
探知数据技术部<!sp>机器学习算法工程师<!sp>15k-30k<!sp>上海<!sp>经验3-5年<!sp>'金融,算法,数据挖掘,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'周末双休,弹性工作,期权激励,技术大牛多'<!sp>'设计能力,逻辑思维能力,钻研能力,专业素质良好,学习能力'<!sp>上海 - 静安区 - 西藏北路 - 西藏北路18号四行天地A座三楼
美图公司厦门区域<!sp>服务端工程师(机器学习平...<!sp>10k-20k<!sp>厦门<!sp>经验1-3年<!sp>'后端开发'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,大牛团队,火速成长'<!sp>'自我管理能力'<!sp>厦门 - 思明区 - 软件园二期望海路8号
恒昌利通<!sp>机器学习（算法）工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'数据分析,金融,算法,数据挖掘,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'地铁周边,餐补,晋升空间大,五险一金'<!sp>'逻辑思维能力,学习能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 建外大街 - 光华路汉威大厦
安存科技研发部<!sp>机器学习工程师<!sp>9k-15k<!sp>长沙<!sp>经验3-5年<!sp>'数据分析,图像处理,算法,大数据,数据挖掘'<!sp>2天前<!sp>拉勾网<!sp>'产品牛,人性化管理,学习型团队,发展空间大'<!sp>'学习能力,逻辑思维能力,钻研能力,创新能力,服务意识,专业素质良好,设计能力'<!sp>长沙市市市 - 开福区 - 科大佳园 - 科大佳园北苑-北门
掌门集团大数据部<!sp>机器学习高级工程师/技术专家<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'高级,算法,大数据,机器学习,数据挖掘,自然语言处理'<!sp>2018-01-12<!sp>拉勾网<!sp>'牛人多,国际市场,自盈利,福利好'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 北京市海淀区中关村东路1号院清华科技园科技大厦A座22层
Bigo大技术部-算法<!sp>机器学习工程师（北京）<!sp>25k-50k<!sp>北京<!sp>经验1-3年<!sp>'高级,算法,图像处理,深度学习,语音处理,机器学习'<!sp>2017-12-27<!sp>拉勾网<!sp>'大牛同事,技术深研,技术分享,深度学习'<!sp>'学习能力,逻辑思维能力,美术功底,专业素质良好,团队协作能力,领悟能力'<!sp>北京 - 海淀区 - 学院路 - 北京海淀区知春路7号致真大厦C座11层
同盾科技信贷科技事业部<!sp>机器学习科学家-杭州-00097<!sp>30k-60k<!sp>杭州<!sp>经验5-10年<!sp>'专家,资深,算法,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'发展空间大,福利待遇好,大牛多,硅谷实验室'<!sp>'学习能力,创新能力,逻辑思维能力,领悟能力,团队协作能力,沟通表达能力'<!sp>杭州 - 余杭区 - 仓前 - 文一西路998号海创园
金易桔子人工智能开发部<!sp>机器学习与人工智能高级工...<!sp>30k-50k<!sp>深圳<!sp>经验1-3年<!sp>'专家,算法,大数据,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'年终奖'<!sp>'良好的职业背景,逻辑思维能力,学习能力,专业素质良好'<!sp>深圳市市市 - 南山区 - 科技园 - 软件产业基地
glimlab研发部<!sp>机器学习算法工程师<!sp>4k-8k<!sp>贵阳<!sp>经验不限<!sp>'数据分析,数据挖掘,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'发展前景,创新项目,牛人团队,先进技术'<!sp>'逻辑思维能力,学习能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>贵阳 - 观山湖区 - 摩根中心B座10楼
百度凤巢<!sp>机器学习/数据挖掘工程师（...<!sp>20k-35k<!sp>上海<!sp>经验1-3年<!sp>'算法,数据挖掘,机器学习'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,下午茶,公司氛围好,领导超好'<!sp>''<!sp>上海 - 浦东新区 - 陆家嘴 - 上海研发中心
人人车大数据部<!sp>机器学习平台开发工程师<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'数据分析,大数据,机器学习,Java'<!sp>2天前<!sp>拉勾网<!sp>'团队氛围好,技术牛'<!sp>'服务意识,逻辑思维能力,学习能力,领悟能力'<!sp>北京 - 朝阳区 - 北苑 - 北苑东路中国铁建广场B座19层
金易桔子研发部<!sp>机器学习/数据挖掘 /NLP算...<!sp>30k-50k<!sp>北京<!sp>经验1-3年<!sp>'图像处理,数据挖掘,机器学习,图形处理,语音处理,模式识别'<!sp>1天前<!sp>拉勾网<!sp>'年终奖,互联网,氛围好'<!sp>'逻辑思维能力,领悟能力,学习能力,创新能力,设计能力,沟通表达能力,团队协作能力'<!sp>北京市 - 朝阳区 - 望京 - 望京首开广场
虹软研发<!sp>机器学习算法工程师<!sp>15K-30K<!sp>杭州<!sp>经验不限<!sp>'算法,图像处理,深度学习'<!sp>3天前<!sp>拉勾网<!sp>'优秀团队,完善福利'<!sp>'美术功底,学习能力,思想品质,英语基础,逻辑思维能力,专业素质良好,团队协作能力,创新能力'<!sp>杭州 - 西湖区 - 文一路 - 西斗门路3号，天堂软件园A栋23F
Airdoc研发<!sp>机器学习算法工程师<!sp>30k-50k<!sp>北京<!sp>经验1-3年<!sp>'python,算法,机器学习,医疗健康'<!sp>2018-01-12<!sp>拉勾网<!sp>'发展空间大,扁平化'<!sp>''<!sp>北京市 - 海淀区 - 白石桥 - 中关村南大街31号院
追一科技<!sp>机器学习算法研究员<!sp>30k-60k<!sp>深圳<!sp>经验不限<!sp>'算法'<!sp>2天前<!sp>拉勾网<!sp>'弹性工作,扁平管理,员工福利好'<!sp>'设计能力,学习能力,逻辑思维能力,执行能力,领悟能力'<!sp>深圳 - 南山区 - 科技园 - 讯美科技广场
HYPEREAL<!sp>机器学习工程师<!sp>20k-30k<!sp>上海<!sp>经验1-3年<!sp>'图像处理,算法,计算机视觉,人工智能,机器学习,深度学习'<!sp>2018-01-18<!sp>拉勾网<!sp>'精英团队,大牛多,前沿科技'<!sp>'学习能力,逻辑思维能力,专业素质良好,团队协作能力,沟通表达能力'<!sp>上海 - 徐汇区 - 虹梅路 - 虹梅路2071号远中产业园4期2号楼2楼
阿里巴巴—高德<!sp>机器学习/数据挖掘/NLP算...<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,自然语言处理'<!sp>2018-01-02<!sp>拉勾网<!sp>'发展前景'<!sp>'逻辑思维能力,领悟能力,学习能力,创新能力,设计能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 阜荣街10号首开广场
马上金融风控部<!sp>机器学习模型师<!sp>15k-30k<!sp>深圳<!sp>经验1-3年<!sp>'金融,算法,建模'<!sp>1天前<!sp>拉勾网<!sp>'部门风控技术先进,学习发展机会多'<!sp>'钻研能力,逻辑思维能力,学习能力,文案能力,沟通表达能力,英语基础'<!sp>深圳市市市 - 福田区 - 岗厦 - 广东省深圳市福田区华嵘大厦15楼
美图公司实验室<!sp>机器学习开发工程师（实验...<!sp>16k-32k<!sp>北京<!sp>经验1-3年<!sp>'python,云计算,机器学习,Java,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,核心部门,技术大牛'<!sp>'学习能力,主动性,专业素质良好,逻辑思维能力,团队协作能力'<!sp>北京 - 海淀区 - 五道口-优盛大厦D座19层
美团点评AI孵化中心<!sp>机器学习算法专家<!sp>25k-50k<!sp>北京<!sp>经验不限<!sp>'算法,数据挖掘,机器学习,深度学习,NLP,人工智能'<!sp>2018-01-19<!sp>拉勾网<!sp>'成长空间大,薪酬福利好,加班少,应用场景丰'<!sp>'学习能力,专业素质良好,逻辑思维能力'<!sp>北京 - 朝阳区 - 望京 - 望京望京东路4号恒电大厦c座 美团大众点评
曼威人工智能<!sp>机器学习-图像处理<!sp>15k-30k<!sp>上海<!sp>经验不限<!sp>'图像处理,机器学习,图形处理,人工智能,模式识别,视频'<!sp>2018-01-09<!sp>拉勾网<!sp>'领导好,环境好,待遇好'<!sp>'学习能力,美术功底,自我管理能力,沟通表达能力,团队协作能力'<!sp>上海 - 徐汇区 - 漕宝路 - 漕河泾开发区桂平路391号新漕河泾国际商务中心A座29楼
小库科技开发<!sp>机器学习算法工程师<!sp>25k-50k<!sp>深圳<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,图形处理,人工智能,科学家'<!sp>1天前<!sp>拉勾网<!sp>'优秀队友,双休不打卡,包午餐零食,技术氛围好'<!sp>''<!sp>深圳市 - 南山区 - 西丽 - 打石二路万科云设计公社
滴滴出行大数据技术部<!sp>机器学习工程师(定价方向)...<!sp>30k-60k<!sp>北京<!sp>经验不限<!sp>'机器学习,OpenStack,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'技术挑战'<!sp>'学习能力,专业素质良好'<!sp>北京 - 海淀区 - 西北旺 - 软件园西北旺东路10号院2号楼嘀嘀湾流大厦
经舆典AI Lab<!sp>机器学习研发工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'python,算法,机器学习,数据挖掘'<!sp>2018-01-10<!sp>拉勾网<!sp>'技术大牛,大数据,不打卡,氛围轻松'<!sp>'学习能力,逻辑思维能力,熟悉法律法规,沟通表达能力,团队协作能力'<!sp>北京 - 东城区 - 广渠门 - 广渠门内大街80号通正国际大厦912室
百度金融数据智能部<!sp>风控数据挖掘及机器学习研...<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'总监,资深,高级,算法,数据挖掘,机器学习'<!sp>2018-01-17<!sp>拉勾网<!sp>'成长空间大,年终丰厚'<!sp>''<!sp>北京 - 海淀区 - 百度大厦
人人车<!sp>机器学习平台开发工程师<!sp>25k-50k<!sp>北京<!sp>经验1-3年<!sp>'算法,数据挖掘,机器学习,大数据,Java'<!sp>1天前<!sp>拉勾网<!sp>'团队氛围好,技术牛'<!sp>'服务意识,逻辑思维能力,学习能力,领悟能力'<!sp>北京 - 朝阳区 - 北苑 - 中国铁建广场B座
GYENNO开发中心<!sp>算法工程师(机器学习)<!sp>30k-50k<!sp>深圳<!sp>经验1-3年<!sp>'算法,机器学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'酷环境,期权激励,不封顶奖金,IPO计划'<!sp>'逻辑思维能力,学习能力,创新能力,领悟能力,专业素质良好,上进心,沟通表达能力,团队协作能力,英语基础,钻研能力'<!sp>深圳 - 南山区 - 高新区南区粤兴三道9号华中科技大学深圳产学研基地A栋805(总部)
追一科技研发部<!sp>机器学习算法工程师<!sp>20k-40k<!sp>深圳<!sp>经验不限<!sp>'算法'<!sp>2天前<!sp>拉勾网<!sp>'弹性工作,扁平管理,员工福利好'<!sp>'逻辑思维能力,服务意识,学习能力,执行能力,设计能力'<!sp>深圳 - 南山区 - 科技园 - 讯美科技广场
阿里巴巴—高德<!sp>数据挖掘/机器学习专家<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'专家,算法,数据挖掘,机器学习,数据分析,自然语言处理'<!sp>2018-01-02<!sp>拉勾网<!sp>'发展前景'<!sp>'逻辑思维能力,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 阜荣街10号首开广场
特赞|Tezign<!sp>机器学习工程师 - 同济大...<!sp>15k-30k<!sp>上海<!sp>经验不限<!sp>'机器学习,深度学习,自然语言处理'<!sp>3天前<!sp>拉勾网<!sp>'鼓励试错,机器学习新领域,设计与AI结合'<!sp>'设计能力,逻辑思维能力,学习能力,抗压能力,思想品质,团队协作能力'<!sp>上海 - 虹口区 - 四川北路 - 乍浦路512号 虹口Soho 3Q 2层
中腾信小花钱包<!sp>机器学习工程师<!sp>15k-28k<!sp>深圳<!sp>经验1-3年<!sp>'金融,云计算,算法,机器学习,深度学习,自然语言处理'<!sp>2018-01-21<!sp>拉勾网<!sp>'中信系,年终奖丰厚'<!sp>'钻研能力,学习能力,逻辑思维能力,服务意识,领悟能力,英语基础,常用办公软件的使用,创新能力,沟通表达能力,团队协作能力'<!sp>深圳市市市 - 南山区 - 科技园 - 长虹科技大厦
上海万得信息技术股份有限公司技术研发岗<!sp>机器学习/深度学习算法专家<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'高级,金融,机器学习,深度学习,大数据,数据挖掘'<!sp>2018-01-17<!sp>拉勾网<!sp>'行业前景好,大公司,工作氛围好,优秀团队'<!sp>'设计能力,学习能力,逻辑思维能力,人脉资源,团队协作能力,性格好'<!sp>上海市 - 浦东新区 - 陆家嘴 - 浦明路1500号 万得大厦
NovuMind Inc.研发部<!sp>机器学习系统研发工程师<!sp>20k-30k<!sp>北京<!sp>经验1-3年<!sp>'python,机器学习,深度学习,计算机视觉,人工智能,大数据'<!sp>3天前<!sp>拉勾网<!sp>'股票期权,带薪年假,年终奖,靠谱老板'<!sp>'自我管理能力,学习能力,设计能力,逻辑思维能力'<!sp>北京 - 海淀区 - 上地 - 中关村软件园4号楼C座云基地
Roadstar.ai自动驾驶研发部<!sp>机器学习/深度学习工程师<!sp>20k-40k<!sp>深圳<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,人工智能'<!sp>2017-12-29<!sp>拉勾网<!sp>'技术大牛,自动驾驶,高速发展,高薪高福利'<!sp>'学习能力,美术功底'<!sp>深圳 - 南山区 - 西丽湖路西丽山庄
淡蓝网Blued技术部<!sp>推荐／机器学习算法工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'算法,图像处理,机器学习,深度学习,推荐,图形处理'<!sp>1天前<!sp>拉勾网<!sp>'行业独角兽,快速发展,免费午餐,期权激励'<!sp>'逻辑思维能力,学习能力'<!sp>北京 - 朝阳区 - 双井 - 百子湾路苹果社区北区22号院艺术街区Blue City
今日头条AI LAB<!sp>AI Lab机器学习系统工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'分布式,python,云计算,机器学习'<!sp>2018-01-17<!sp>拉勾网<!sp>'弹性工作,免费三餐,租房补贴,五险一金'<!sp>'服务意识,学习能力,逻辑思维能力,设计能力'<!sp>北京 - 海淀区 - 北京市海淀区北三环西路43号中航广场
向上金服技术部<!sp>机器学习算法工程师<!sp>20k-30k<!sp>北京<!sp>经验1-3年<!sp>'高级,中级,算法,机器学习,大数据'<!sp>2018-01-13<!sp>拉勾网<!sp>'福利优越,发展前景'<!sp>'设计能力,学习能力,逻辑思维能力'<!sp>北京 - 东城区 - 朝阳门 - 朝阳门银河SOHO C座9层
魔蝎科技数据研发部<!sp>机器学习（算法专家）<!sp>12k-24k<!sp>杭州<!sp>经验3-5年<!sp>'图像处理,建模,算法,机器学习,人工智能,数据挖掘'<!sp>3天前<!sp>拉勾网<!sp>'年底多薪,多样团建,股票期权,扁平管理'<!sp>'逻辑思维能力,良好的职业背景,学习能力'<!sp>杭州 - 西湖区 - 西溪 - 文一西路767号绿城西溪国际D座2F
美宅算法组<!sp>资深机器学习算法研究员<!sp>35k-65k<!sp>北京<!sp>经验1-3年<!sp>'高级,算法,机器学习,深度学习,模式识别,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'员工持股,行业前景好,人工智能,新零售'<!sp>'抗压能力,沟通表达能力,学习能力,良好的职业背景,专业素质良好,逻辑思维能力,钻研能力,常用办公软件的使用,文案能力'<!sp>北京市 - 海淀区 - 苏州桥 - 长春桥路5号新起点嘉园10号楼
百度度秘事业部<!sp>度秘事业部_自然语言处理/...<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'算法,机器学习,深度学习,NLP,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'人工智能,战略部门,发展空间,技术氛围'<!sp>''<!sp>北京 - 海淀区 - 西二旗 - 百度大厦
全息数据风控中心<!sp>机器学习工程师<!sp>15k-30k<!sp>上海<!sp>经验3-5年<!sp>'中级,数据分析,金融,数据挖掘,机器学习,大数据'<!sp>2018-01-05<!sp>拉勾网<!sp>'上市背景,发展潜力大,薪资待遇佳,领导好'<!sp>'设计能力,逻辑思维能力,学习能力,专业素质良好'<!sp>上海 - 浦东新区 - 张江 - 达尔文路半岛科技园88号5号楼1楼
CoupangSearch Team<!sp>机器学习算法工程师<!sp>20k-32k<!sp>上海<!sp>经验不限<!sp>'高级,算法,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'国外出差,弹性工作,技术氛围强,薪资福利优'<!sp>''<!sp>上海 - 浦东新区 - 张江 - 金科路2889弄长泰广场c座7楼
美登科技研发部<!sp>机器学习算法工程师<!sp>15k-30k<!sp>杭州<!sp>经验不限<!sp>'数据分析,算法,数据挖掘,机器学习,推荐,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'空间大,弹性工作,高薪高福利,妹子帅哥多'<!sp>'学习能力,服务意识,设计能力'<!sp>杭州市 - 拱墅区 - 西溪 - 余杭塘路515号矩阵国际
智能帮研发<!sp>机器学习资深研发工程师<!sp>25k-50k<!sp>深圳<!sp>经验1-3年<!sp>'资深,高级,金融,算法,软件开发,机器学习'<!sp>2天前<!sp>拉勾网<!sp>'原始股,宽松环境,发挥空间大'<!sp>'学习能力,设计能力,逻辑思维能力,专业素质良好,常用办公软件的使用'<!sp>深圳 - 南山区 - 大冲 - 科技园科技工业大厦
中益善源技术部<!sp>算法工程师（机器学习方向）<!sp>15k-30k<!sp>北京<!sp>经验5-10年<!sp>'算法,Java'<!sp>2天前<!sp>拉勾网<!sp>'带薪年假,餐费补助,弹性工作,五险一金'<!sp>'设计能力,学习能力,逻辑思维能力,专业素质良好,常用办公软件的使用,领悟能力,英语基础,美术功底,抗压能力,吃苦耐劳,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京SOHO塔1A座1012
猩便利技术部<!sp>高级算法工程师/机器学习...<!sp>25k-50k<!sp>上海<!sp>经验5-10年<!sp>'专家,数据分析,建模,算法,机器学习,电商'<!sp>2018-01-04<!sp>拉勾网<!sp>'发展空间大'<!sp>''<!sp>上海市 - 黄浦区 - 人民广场 - 云南南路118号
比量科技珠海公司研发部<!sp>机器学习工程师<!sp>5k-10k<!sp>珠海<!sp>经验不限<!sp>'数据分析,算法,机器学习,人工智能,自然语言处理'<!sp>2018-01-16<!sp>拉勾网<!sp>'双休,五险一金'<!sp>'逻辑思维能力,学习能力,领悟能力,常用办公软件的使用'<!sp>工作地址
北京协同创新研究院智能传媒技术中心<!sp>机器学习高级工程师<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'总监,高级,算法,模式识别,深度学习,视频'<!sp>2018-01-15<!sp>拉勾网<!sp>'五险一金,带薪年假,高校环境'<!sp>'学习能力,逻辑思维能力,英语基础,沟通表达能力,责任心,团队协作能力'<!sp>北京 - 朝阳区 - 定福庄 - 中国传媒大学42号楼
玖富集团理财事业群<!sp>机器学习算法工程师（AI方向）<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'金融,算法,机器学习,人工智能,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,年终奖金,技术氛围好,核心产品'<!sp>''<!sp>北京 - 朝阳区 - 阜通西大街望京SOHO塔三B座40层
美图公司Web&大数据事业部<!sp>机器学习平台研发工程师<!sp>10k-20k<!sp>厦门<!sp>经验不限<!sp>'数据分析,spark,hadoop,数据挖掘,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'海量数据平台'<!sp>'设计能力,学习能力,逻辑思维能力,创新能力,领悟能力,领导能力,沟通表达能力'<!sp>厦门 - 湖里区 - 软件园2期望海路6号楼
微医集团技术中心<!sp>机器学习/文本挖掘工程师（...<!sp>15k-30k<!sp>杭州<!sp>经验1-3年<!sp>'NLP,算法,机器学习,自然语言处理'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,弹性工作,周末双休,带薪年假'<!sp>'学习能力,专业素质良好,逻辑思维能力,领悟能力'<!sp>杭州 - 萧山区 - 建设三路 - 经济技术开发区启迪路198号杭州湾信息港B-12AF-01
微家产品技术部<!sp>机器学习<!sp>15k-25k<!sp>上海<!sp>经验1-3年<!sp>'数据挖掘,机器学习'<!sp>2018-01-04<!sp>拉勾网<!sp>'风口行业,办公环境高'<!sp>''<!sp>上海 - 浦东新区 - 陆家嘴 - 世纪大道88号金茂大厦10层
阿里巴巴—高德数据研发部<!sp>高德-数据挖掘/机器学习专...<!sp>40k-80k<!sp>北京<!sp>经验不限<!sp>'专家,资深,高级,数据挖掘,机器学习,深度学习'<!sp>2018-01-02<!sp>拉勾网<!sp>'福利待遇好,团队技术前沿！'<!sp>'逻辑思维能力,学习能力,常用办公软件的使用,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 望京阜通东大街方恒国际中心A座15层
小米智能云<!sp>机器学习算法工程师<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'算法'<!sp>2018-01-21<!sp>拉勾网<!sp>'探索实验室,AI项目'<!sp>'领悟能力,学习能力,美术功底,逻辑思维能力'<!sp>北京 - 海淀区 - 清河 - 清河中街68号华润五彩城
百度金融数据智能部<!sp>机器学习（高级）研发工程师<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,中级,初级,金融,算法,机器学习'<!sp>2018-01-17<!sp>拉勾网<!sp>'成长空间大,年终丰厚'<!sp>''<!sp>北京 - 海淀区 - 百度大厦
京东商城X事业部<!sp>机器学习算法工程师（无人仓）<!sp>40k-80k<!sp>北京<!sp>经验5-10年<!sp>'电商,数据挖掘,机器学习,大数据,数据分析'<!sp>1天前<!sp>拉勾网<!sp>'核心项目,大平台,前景广阔'<!sp>'逻辑思维能力,学习能力,专业素质良好,沟通表达能力'<!sp>北京 - 大兴区 - 亦庄 - 朝林广场
携程<!sp>机器学习工程师<!sp>15k-30k<!sp>上海<!sp>经验不限<!sp>'算法,数据挖掘,机器学习,大数据'<!sp>2018-01-03<!sp>拉勾网<!sp>'待遇好,牛人多'<!sp>'领悟能力,专业素质良好,逻辑思维能力,学习能力,良好的职业背景,沟通表达能力'<!sp>上海 - 长宁区 - 北新泾 - 金钟路968号凌空SOHO携程旅行网(新总部)
阿里巴巴移动事业群-UC<!sp>资深机器学习工程师/专家（...<!sp>30k-50k<!sp>北京<!sp>经验5-10年<!sp>'算法,数据挖掘,机器学习,推荐,NLP,地图'<!sp>1天前<!sp>拉勾网<!sp>'牛人多,福利好30'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 优盛大厦
腾讯<!sp>机器学习和数据挖掘工程师...<!sp>18k-36k<!sp>北京<!sp>经验1-3年<!sp>'广告营销,算法,数据挖掘,机器学习,大数据,视频'<!sp>3天前<!sp>拉勾网<!sp>'鹅厂福利你懂的'<!sp>''<!sp>北京 - 海淀区 - 知春路 - 希格玛大厦
小狐鲜网络人工智能研究院<!sp>机器学习<!sp>30k-60k<!sp>北京<!sp>经验不限<!sp>'搜索,算法,机器学习,深度学习,推荐,NLP'<!sp>2017-12-25<!sp>拉勾网<!sp>'机器学习,薪资高,工资轻松'<!sp>''<!sp>北京市 - 海淀区 - 北京大学 - 中关村
趋势科技核心技术部<!sp>机器学习专家<!sp>40k-50k<!sp>南京<!sp>经验3-5年<!sp>'专家,资深,数据分析,机器学习,深度学习,模式识别'<!sp>2天前<!sp>拉勾网<!sp>'行业领先,专业团队,重点项目,硅谷文化'<!sp>''<!sp>南京市市市 - 雨花台区 - 宁南 - 软件大道48号
全息数据风控中心<!sp>资深机器学习工程师<!sp>30k-60k<!sp>上海<!sp>经验3-5年<!sp>'专家,资深,数据挖掘,机器学习,深度学习,建模'<!sp>2018-01-05<!sp>拉勾网<!sp>'上市背景,发展潜力大,薪酬福利佳,领导好'<!sp>'文案能力,逻辑思维能力,设计能力,团队协作能力,熟悉法律法规,学习能力,专业素质良好,领导能力,抗压能力,责任心,沟通表达能力,执行能力'<!sp>上海 - 浦东新区 - 张江 - 达尔文路半岛科技园88号5号楼1楼
